rank,name, interantional , movies , average 
427,Jane Hartwell,393912730.00,2.00,196956365.00
428,Stuart Fenegan,391534534.00,2.00,195767267.00
429,Charles Rosen,391534534.00,1.00,391534534.00
430,Joel Coen,391275413.00,8.00,48909427.00
431,Osnat Shurer,388170023.00,2.00,194085012.00
432,Wang Zhonglei,388124065.00,7.00,55446295.00
433,Lisa Stewart,387204302.00,2.00,193602151.00
434,David Katzenberg,387195990.00,2.00,193597995.00
435,Seth Grahame-Smith,387195990.00,2.00,193597995.00
436,Kristine Belson,385900000.00,1.00,385900000.00
437,Paul Feig,384016244.00,7.00,54859463.00
438,Michael Bostick,383323154.00,4.00,95830789.00
439,Tom Shadyac,383323154.00,4.00,95830789.00
440,Christian Colson,382656252.00,7.00,54665179.00
441,John McTiernan,382371262.00,3.00,127457087.00
442,Harvey Weinstein,379979729.00,6.00,63329955.00
443,Wang Changtian,376471134.00,4.00,94117784.00
444,Catherine Knapman,374326808.00,2.00,187163404.00
445,David T. Friendly,372107096.00,8.00,46513387.00
446,Matt O'Toole,371608512.00,12.00,30967376.00
447,Steven Reuther,370623297.00,3.00,123541099.00
448,Barry Levine,369509398.00,2.00,184754699.00
449,Chris Bender,367664521.00,17.00,21627325.00
450,Keith Redmon,366680125.00,3.00,122226708.00
451,Andrew Rona,362727964.00,16.00,22670498.00
452,Evan Goldberg,362229434.00,15.00,24148629.00
453,Paul Greengrass,362068980.00,4.00,90517245.00
454,Charlotte Huggins,361425378.00,3.00,120475126.00
455,Tom Engelman,359647000.00,2.00,179823500.00
456,Yee Chung-Man,359262825.00,1.00,359262825.00
457,Doris Tse,359262825.00,1.00,359262825.00
458,Megan Ellison,358323097.00,19.00,18859110.00
459,Charles Gordon,358205500.00,5.00,71641100.00
460,Barry Sonnenfeld,357800918.00,3.00,119266973.00
461,Joey McFarland,355948223.00,5.00,71189645.00
462,Sacha Baron Cohen,353946410.00,4.00,88486603.00
463,Ramsey Ann Naito,352962903.00,1.00,352962903.00
464,Gianni Nunnari,352290824.00,4.00,88072706.00
465,Paul L Sandberg,351486000.00,2.00,175743000.00
466,Riza Aziz,350507899.00,4.00,87626975.00
467,Woldgang Peterson,349853463.00,1.00,349853463.00
468,Diana Rathbun,349853463.00,1.00,349853463.00
469,Grant Heslov,349257138.00,12.00,29104762.00
470,Lynette Howell,348511946.00,18.00,19361775.00
471,Tim Headington,346617925.00,9.00,38513103.00
472,Matt Groening,343936008.00,1.00,343936008.00
473,Richard Raynis,343936008.00,1.00,343936008.00
474,Al Jean,343936008.00,1.00,343936008.00
475,Mike Scully,343936008.00,1.00,343936008.00
476,Mark Bomback,342712105.00,1.00,342712105.00
477,Mary McLaglen,342712105.00,1.00,342712105.00
478,Aamir Khan,342120820.00,5.00,68424164.00
479,Mark O Keefe,342093069.00,2.00,171046535.00
480,Steve Koren,342093069.00,2.00,171046535.00
481,Elizabeth Avellan,341780690.00,8.00,42722586.00
482,Gilbert Adler,340937183.00,4.00,85234296.00
483,John Musker,340379446.00,2.00,170189723.00
484,Ron Clements,340379446.00,2.00,170189723.00
485,Patrick McCormick,338731600.00,5.00,67746320.00
486,Steven Paul,338536688.00,4.00,84634172.00
487,Richard N. Gladstein,337249702.00,8.00,42156213.00
488,Pete Czernin,336478058.00,11.00,30588914.00
489,Graham Broadbent,336478058.00,11.00,30588914.00
490,Sam Mendes,335907661.00,3.00,111969220.00
491,Seth Rogen,334760822.00,13.00,25750832.00
492,Jim Carrey,334232532.00,3.00,111410844.00
493,Paul Wagner,334178627.00,1.00,334178627.00
494,Leonard Goldberg,333252903.00,3.00,111084301.00
495,Philippa Boyens,332437332.00,1.00,332437332.00
496,Jan Blenkin,332437332.00,1.00,332437332.00
497,Anthony Katagas,332225469.00,17.00,19542675.00
498,Suzanne Buirgy,332193245.00,2.00,166096623.00
499,Denise Nolan Cascino,331771355.00,2.00,165885678.00
500,Lawrence Kasdan,331000000.00,3.00,110333333.00
